fundo	parcela	lote	producto	dosis	volumen	area	toneladas
Mar Verde	PARCELA 25	L855	BAMECTIN	1.501	2000	6.84	15.72346028
Mar Verde	PARCELA 25	L855	BIOIL-S/ENHANCE	20	2000	2.28	15.72346028
Mar Verde	PARCELA 25	L855	BONUM	0.67525	900	4.56	15.72346028
Mar Verde	PARCELA 25	L855	BTK-CROPS	4	2000	2.28	15.72346028
Mar Verde	PARCELA 25	L855	CALCI-B	3	800	2.28	15.72346028
Mar Verde	PARCELA 25	L855	CHUNGAR	1.800333333	1800	2.28	15.72346028
Mar Verde	PARCELA 25	L855	CITOBLOOM 2.4	1	800	2.28	15.72346028
Mar Verde	PARCELA 25	L855	CLOSER 240 SC	0.5995	2000	2.28	15.72346028
Mar Verde	PARCELA 25	L855	CROPS CANELA	1.442	1866.666667	15.96	15.72346028
Mar Verde	PARCELA 25	L855	CYFLUNIL	0.75	1000	2.28	15.72346028
Mar Verde	PARCELA 25	L855	DOGMA	0.5	800	2.28	15.72346028
Mar Verde	PARCELA 25	L855	EMACTIN 5% SG	0.799666667	2000	4.56	15.72346028
Mar Verde	PARCELA 25	L855	EPINGLE 10 EC	2	2000	2.28	15.72346028
Mar Verde	PARCELA 25	L855	ESENFOL CaB ZINC	3	800	2.28	15.72346028
Mar Verde	PARCELA 25	L855	FAST THRU	0.275733333	1840	13.68	15.72346028
Mar Verde	PARCELA 25	L855	GF-120	1.5996	1403.796	6.27	15.72346028
Mar Verde	PARCELA 25	L855	GLADIADOR	1.888888889	1888.888889	9.12	15.72346028
Mar Verde	PARCELA 25	L855	HIPOCLORITO SODIO 5%	0.076136364	1709.090909	22.8	15.72346028
Mar Verde	PARCELA 25	L855	KELPURA	3	600	2.28	15.72346028
Mar Verde	PARCELA 25	L855	KEYLATE BORO	2	800	2.28	15.72346028
Mar Verde	PARCELA 25	L855	LICTHOR	4	100	6.84	15.72346028
Mar Verde	PARCELA 25	L855	MAXI COVER	0.206058824	1370.588235	43.32	15.72346028
Mar Verde	PARCELA 25	L855	MICROCAT ZINC	0.599	800	2.28	15.72346028
Mar Verde	PARCELA 25	L855	POTENSIL	2	2000	9.12	15.72346028
Mar Verde	PARCELA 25	L855	ROBUST 5 SC	3	600	2.28	15.72346028
Mar Verde	PARCELA 25	L855	ROXICOP	2	1000	2.28	15.72346028
Mar Verde	PARCELA 25	L855	TACHIGAREN	2	100	2.28	15.72346028
Mar Verde	PARCELA 25	L855	X-CYTE	1.198666667	800	4.56	15.72346028
Mar Verde	PARCELA 25	L856	ACAPROX	3	2000	6.84	15.75334037
Mar Verde	PARCELA 25	L856	ACIDO FOSFORICO 85%	0.15	2000	2.28	15.75334037
Mar Verde	PARCELA 25	L856	ALGASIL	1	1640	6.84	15.75334037
